"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","13-Dec-2022","       1547.20","       1547.20","       1577.50","       1541.15","       1571.00","       1572.15","       1563.52","    6135067","          9592274371.70","     156994","    3687457","         60.10"
"INFY","EQ","14-Dec-2022","       1572.15","       1582.00","       1588.50","       1573.00","       1574.00","       1579.40","       1581.49","    4976020","          7869515572.65","     143293","    3413371","         68.60"
"INFY","EQ","15-Dec-2022","       1579.40","       1569.30","       1570.00","       1535.25","       1539.95","       1540.50","       1549.15","    6443866","          9982526579.70","     185365","    4484423","         69.59"
"INFY","EQ","16-Dec-2022","       1540.50","       1525.00","       1549.50","       1512.05","       1521.50","       1522.20","       1526.77","    9630453","         14703523653.25","     191749","    5420140","         56.28"
"INFY","EQ","19-Dec-2022","       1522.20","       1507.95","       1516.90","       1495.05","       1510.00","       1507.35","       1507.63","    6222740","          9381570380.60","     208003","    3934980","         63.24"
"INFY","EQ","20-Dec-2022","       1507.35","       1501.00","       1516.00","       1482.45","       1505.90","       1507.30","       1499.43","    7396259","         11090163957.45","     252252","    4595686","         62.14"
"INFY","EQ","21-Dec-2022","       1507.30","       1515.00","       1521.00","       1502.35","       1512.10","       1509.55","       1511.41","    6236361","          9425717455.45","     168630","    4044708","         64.86"
"INFY","EQ","22-Dec-2022","       1509.55","       1521.50","       1529.95","       1511.75","       1518.00","       1522.05","       1521.35","    6302640","          9588515437.25","     162243","    3744916","         59.42"
"INFY","EQ","23-Dec-2022","       1522.05","       1508.70","       1509.90","       1493.00","       1498.30","       1497.10","       1501.85","    6283822","          9437376869.85","     209853","    4097699","         65.21"
"INFY","EQ","26-Dec-2022","       1497.10","       1500.50","       1509.90","       1496.35","       1500.35","       1502.40","       1504.05","    4115459","          6189868085.40","     128273","    2817731","         68.47"
"INFY","EQ","27-Dec-2022","       1502.40","       1509.95","       1521.45","       1497.50","       1516.40","       1514.85","       1509.99","    4860076","          7338689836.70","     151234","    3575077","         73.56"
"INFY","EQ","28-Dec-2022","       1514.85","       1505.10","       1524.95","       1498.50","       1510.00","       1510.15","       1510.98","    5029860","          7600016720.25","     138568","    3181202","         63.25"
"INFY","EQ","29-Dec-2022","       1510.15","       1504.00","       1521.30","       1501.00","       1519.00","       1517.55","       1511.51","    4624745","          6990342622.05","     116090","    3061244","         66.19"
"INFY","EQ","30-Dec-2022","       1517.55","       1528.00","       1530.40","       1504.05","       1508.60","       1508.20","       1518.27","    5060544","          7683272019.95","     123954","    3433267","         67.84"
